"time","eta","etap","wind"
2003-09-20 00:00:00,0.55,0.53,1.7
2003-09-20 01:00:00,0.48,0.51,1.9
2003-09-20 02:00:00,0.53,0.59,1.7
2003-09-20 03:00:00,0.73,0.76,1.1
2003-09-20 04:00:00,0.95,0.98,0
2003-09-20 05:00:00,1.14,1.16,0
2003-09-20 06:00:00,1.26,1.26,1.1
2003-09-20 07:00:00,1.28,1.27,0
2003-09-20 08:00:00,1.25,1.21,1.1
2003-09-20 09:00:00,1.12,1.11,0
2003-09-20 10:00:00,1.02,1,1.9
2003-09-20 11:00:00,0.9,0.89,1.7
2003-09-20 12:00:00,0.84,0.8,1.7
2003-09-20 13:00:00,0.75,0.74,1.7
2003-09-20 14:00:00,0.8,0.77,3.6
2003-09-20 15:00:00,0.91,0.89,1.9
2003-09-20 16:00:00,1.12,1.06,3.6
2003-09-20 17:00:00,1.29,1.23,4.2
2003-09-20 18:00:00,1.4,1.34,4.7
2003-09-20 19:00:00,1.46,1.35,3.6
2003-09-20 20:00:00,1.38,1.27,3.1
2003-09-20 21:00:00,1.29,1.14,3.1
2003-09-20 22:00:00,1.12,0.98,1.9
2003-09-20 23:00:00,0.93,0.8,3.1
2003-09-21 00:00:00,0.75,0.62,3.1
2003-09-21 01:00:00,0.58,0.5,2.5
2003-09-21 02:00:00,0.53,0.47,2.5
2003-09-21 03:00:00,0.64,0.56,3.6
2003-09-21 04:00:00,0.8,0.75,4.2
2003-09-21 05:00:00,1.03,0.97,4.2
2003-09-21 06:00:00,1.22,1.15,4.2
2003-09-21 07:00:00,1.34,1.27,3.6
2003-09-21 08:00:00,1.38,1.31,4.2
2003-09-21 09:00:00,1.35,1.27,3.1
2003-09-21 10:00:00,1.26,1.17,2.5
2003-09-21 11:00:00,1.1,1.04,1.9
2003-09-21 12:00:00,0.98,0.9,1.7
2003-09-21 13:00:00,0.8,0.78,1.1
2003-09-21 14:00:00,0.73,0.71,1.1
2003-09-21 15:00:00,0.8,0.74,1.9
2003-09-21 16:00:00,0.92,0.87,1.7
2003-09-21 17:00:00,1.18,1.06,1.7
2003-09-21 18:00:00,1.34,1.24,1.7
2003-09-21 19:00:00,1.5,1.36,1.9
2003-09-21 20:00:00,1.51,1.38,4.7
2003-09-21 21:00:00,1.47,1.33,2.5
2003-09-21 22:00:00,1.36,1.19,2.5
2003-09-21 23:00:00,1.18,1,1.9
2003-09-22 00:00:00,0.9,0.78,1.1
2003-09-22 01:00:00,0.68,0.57,0
2003-09-22 02:00:00,0.52,0.43,1.1
2003-09-22 03:00:00,0.47,0.41,2.5
2003-09-22 04:00:00,0.59,0.51,1.7
2003-09-22 05:00:00,0.79,0.72,3.6
2003-09-22 06:00:00,1.05,0.97,3.6
2003-09-22 07:00:00,1.24,1.19,1.7
2003-09-22 08:00:00,1.4,1.33,2.5
2003-09-22 09:00:00,1.42,1.38,1.9
2003-09-22 10:00:00,1.45,1.34,2.5
2003-09-22 11:00:00,1.32,1.22,3.6
2003-09-22 12:00:00,1.12,1.04,3.1
2003-09-22 13:00:00,0.92,0.86,4.2
2003-09-22 14:00:00,0.71,0.7,1.7
2003-09-22 15:00:00,0.68,0.63,1.9
2003-09-22 16:00:00,0.7,0.67,1.9
2003-09-22 17:00:00,0.9,0.83,1.9
2003-09-22 18:00:00,1.13,1.06,1.7
2003-09-22 19:00:00,1.33,1.28,0
2003-09-22 20:00:00,1.5,1.42,4.2
2003-09-22 21:00:00,1.55,1.47,3.1
2003-09-22 22:00:00,1.57,1.4,3.1
2003-09-22 23:00:00,1.37,1.24,1.9
2003-09-23 00:00:00,1.11,1,3.1
2003-09-23 01:00:00,0.83,0.72,2.5
2003-09-23 02:00:00,0.58,0.49,3.6
2003-09-23 03:00:00,0.4,0.35,3.1
2003-09-23 04:00:00,0.4,0.34,2.5
2003-09-23 05:00:00,0.48,0.47,1.9
2003-09-23 06:00:00,0.78,0.72,2.5
2003-09-23 07:00:00,1.06,1.02,3.1
2003-09-23 08:00:00,1.3,1.27,3.1
2003-09-23 09:00:00,1.47,1.44,3.6
2003-09-23 10:00:00,1.52,1.48,3.1
2003-09-23 11:00:00,1.47,1.4,3.6
2003-09-23 12:00:00,1.28,1.22,5.3
2003-09-23 13:00:00,1.02,0.99,6.1
2003-09-23 14:00:00,0.81,0.76,5.6
2003-09-23 15:00:00,0.64,0.58,5.3
2003-09-23 16:00:00,0.57,0.52,7.8
2003-09-23 17:00:00,0.58,0.59,5.3
2003-09-23 18:00:00,0.84,0.8,8.9
2003-09-23 19:00:00,1.15,1.09,7.8
2003-09-23 20:00:00,1.47,1.35,8.9
2003-09-23 21:00:00,1.63,1.52,8.3
2003-09-23 22:00:00,1.67,1.57,5.6
2003-09-23 23:00:00,1.6,1.48,7.8
2003-09-24 00:00:00,1.4,1.26,7.8
2003-09-24 01:00:00,1.12,0.96,8.3
2003-09-24 02:00:00,0.76,0.64,9.7
2003-09-24 03:00:00,0.55,0.39,8.3
2003-09-24 04:00:00,0.36,0.25,8.3
2003-09-24 05:00:00,0.35,0.27,7.8
2003-09-24 06:00:00,0.56,0.45,6.7
2003-09-24 07:00:00,0.86,0.77,7.2
2003-09-24 08:00:00,1.26,1.12,8.3
2003-09-24 09:00:00,1.54,1.41,8.9
2003-09-24 10:00:00,1.69,1.57,6.1
2003-09-24 11:00:00,1.69,1.58,9.2
2003-09-24 12:00:00,1.55,1.44,5.6
2003-09-24 13:00:00,1.26,1.18,5.3
2003-09-24 14:00:00,0.94,0.88,4.2
2003-09-24 15:00:00,0.69,0.61,4.2
2003-09-24 16:00:00,0.5,0.43,4.7
2003-09-24 17:00:00,0.4,0.39,4.2
2003-09-24 18:00:00,0.54,0.52,5.3
2003-09-24 19:00:00,0.77,0.79,4.7
2003-09-24 20:00:00,1.17,1.14,5.6
2003-09-24 21:00:00,1.47,1.45,2.5
2003-09-24 22:00:00,1.66,1.63,1.9
2003-09-24 23:00:00,1.69,1.66,1.9
2003-09-25 00:00:00,1.55,1.52,1.9
2003-09-25 01:00:00,1.29,1.25,2.5
2003-09-25 02:00:00,0.89,0.88,1.1
2003-09-25 03:00:00,0.55,0.53,0
2003-09-25 04:00:00,0.32,0.28,0
2003-09-25 05:00:00,0.18,0.17,0
2003-09-25 06:00:00,0.23,0.23,1.1
2003-09-25 07:00:00,0.47,0.48,1.1
2003-09-25 08:00:00,0.85,0.86,0
2003-09-25 09:00:00,1.32,1.26,0
2003-09-25 10:00:00,1.6,1.57,1.7
2003-09-25 11:00:00,1.75,1.7,0
2003-09-25 12:00:00,1.7,1.65,1.1
2003-09-25 13:00:00,1.49,1.43,2.5
2003-09-25 14:00:00,1.15,1.1,2.5
2003-09-25 15:00:00,0.81,0.75,4.2
2003-09-25 16:00:00,0.51,0.46,4.7
2003-09-25 17:00:00,0.32,0.29,4.2
2003-09-25 18:00:00,0.33,0.29,4.7
2003-09-25 19:00:00,0.47,0.47,5.3
2003-09-25 20:00:00,0.84,0.81,4.2
2003-09-25 21:00:00,1.22,1.21,4.2
2003-09-25 22:00:00,1.58,1.55,3.1
2003-09-25 23:00:00,1.78,1.73,3.6
2003-09-26 00:00:00,1.76,1.72,2.5
2003-09-26 01:00:00,1.6,1.52,3.1
2003-09-26 02:00:00,1.2,1.18,3.6
2003-09-26 03:00:00,0.83,0.77,3.1
2003-09-26 04:00:00,0.47,0.41,3.6
2003-09-26 05:00:00,0.22,0.18,1.1
2003-09-26 06:00:00,0.15,0.12,1.1
2003-09-26 07:00:00,0.25,0.23,1.7
2003-09-26 08:00:00,0.6,0.55,1.1
2003-09-26 09:00:00,1.03,0.99,1.7
2003-09-26 10:00:00,1.47,1.43,1.9
2003-09-26 11:00:00,1.79,1.72,2.5
2003-09-26 12:00:00,1.87,1.8,1.7
2003-09-26 13:00:00,1.76,1.68,1.7
2003-09-26 14:00:00,1.46,1.38,0
2003-09-26 15:00:00,1.06,0.98,0
2003-09-26 16:00:00,0.69,0.6,1.7
2003-09-26 17:00:00,0.37,0.31,3.6
2003-09-26 18:00:00,0.22,0.18,3.1
2003-09-26 19:00:00,0.19,0.22,5.3
2003-09-26 20:00:00,0.43,0.45,3.1
2003-09-26 21:00:00,0.84,0.84,1.9
2003-09-26 22:00:00,1.27,1.29,2.5
2003-09-26 23:00:00,1.61,1.64,3.1
2003-09-27 00:00:00,1.78,1.79,2.5
2003-09-27 01:00:00,1.72,1.73,4.2
2003-09-27 02:00:00,1.44,1.48,3.1
2003-09-27 03:00:00,1.06,1.09,3.1
2003-09-27 04:00:00,0.68,0.66,3.1
2003-09-27 05:00:00,0.34,0.32,2.5
2003-09-27 06:00:00,0.13,0.13,2.5
2003-09-27 07:00:00,0.05,0.11,3.1
2003-09-27 08:00:00,0.25,0.28,2.5
2003-09-27 09:00:00,0.62,0.65,2.5
2003-09-27 10:00:00,1.12,1.14,2.5
2003-09-27 11:00:00,1.56,1.57,3.1
2003-09-27 12:00:00,1.85,1.83,3.1
2003-09-27 13:00:00,1.89,1.85,4.7
2003-09-27 14:00:00,1.72,1.66,4.2
2003-09-27 15:00:00,1.3,1.29,5.3
2003-09-27 16:00:00,0.88,0.85,5.6
2003-09-27 17:00:00,0.54,0.47,5.6
2003-09-27 18:00:00,0.29,0.21,5.3
2003-09-27 19:00:00,0.12,0.11,4.7
2003-09-27 20:00:00,0.2,0.19,5.6
2003-09-27 21:00:00,0.47,0.46,4.7
2003-09-27 22:00:00,0.93,0.89,4.7
2003-09-27 23:00:00,1.38,1.36,5.6
2003-09-28 00:00:00,1.72,1.69,6.1
2003-09-28 01:00:00,1.81,1.8,6.7
2003-09-28 02:00:00,1.74,1.69,8.3
2003-09-28 03:00:00,1.44,1.4,5.3
2003-09-28 04:00:00,1.07,0.98,6.7
2003-09-28 05:00:00,0.64,0.57,8.3
2003-09-28 06:00:00,0.38,0.28,7.8
2003-09-28 07:00:00,0.2,0.14,7.8
2003-09-28 08:00:00,0.23,0.16,7.8
2003-09-28 09:00:00,0.42,0.37,7.2
2003-09-28 10:00:00,0.86,0.77,7.2
2003-09-28 11:00:00,1.36,1.27,8.3
2003-09-28 12:00:00,1.78,1.68,7.8
2003-09-28 13:00:00,2,1.88,8.9
2003-09-28 14:00:00,1.98,1.84,6.1
2003-09-28 15:00:00,1.72,1.57,8.3
2003-09-28 16:00:00,1.36,1.16,6.7
2003-09-28 17:00:00,0.95,0.73,6.7
2003-09-28 18:00:00,0.59,0.38,8.9
2003-09-28 19:00:00,0.31,0.17,8.9
2003-09-28 20:00:00,0.28,0.09,8.3
2003-09-28 21:00:00,0.36,0.19,9.2
2003-09-28 22:00:00,0.7,0.49,9.2
2003-09-28 23:00:00,1.2,0.95,10.8
2003-09-29 00:00:00,1.66,1.4,12.2
2003-09-29 01:00:00,2.02,1.7,12.8
2003-09-29 02:00:00,2.35,1.77,12.8
2003-09-29 03:00:00,2.65,1.62,21.7
2003-09-29 04:00:00,2.84,1.29,23.6
2003-09-29 05:00:00,1.29,0.88,20.6
2003-09-29 06:00:00,0.77,0.53,13.9
2003-09-29 07:00:00,0.55,0.3,11.9
2003-09-29 08:00:00,0.32,0.21,8.9
2003-09-29 09:00:00,0.44,0.25,7.8
2003-09-29 10:00:00,0.54,0.47,6.7
2003-09-29 11:00:00,1.02,0.89,5.3
2003-09-29 12:00:00,1.53,1.37,9.7
2003-09-29 13:00:00,1.77,1.73,10.3
2003-09-29 14:00:00,1.84,1.87,5.6
2003-09-29 15:00:00,1.91,1.76,7.2
2003-09-29 16:00:00,1.72,1.45,5.6
2003-09-29 17:00:00,1.25,1.04,6.7
2003-09-29 18:00:00,0.8,0.65,7.2
2003-09-29 19:00:00,0.49,0.35,6.7
2003-09-29 20:00:00,0.31,0.17,5.3
2003-09-29 21:00:00,0.32,0.11,4.2
2003-09-29 22:00:00,0.45,0.21,5.6
2003-09-29 23:00:00,0.73,0.53,5.3
2003-09-30 00:00:00,1.12,0.99,5.3
2003-09-30 01:00:00,1.53,1.42,5.3
2003-09-30 02:00:00,1.78,1.67,4.2
2003-09-30 03:00:00,1.78,1.7,5.3
2003-09-30 04:00:00,1.6,1.52,7.8
2003-09-30 05:00:00,1.32,1.19,6.1
2003-09-30 06:00:00,0.99,0.83,5.3
2003-09-30 07:00:00,0.55,0.55,4.2
2003-09-30 08:00:00,0.21,0.38,3.6
2003-09-30 09:00:00,0.21,0.3,3.6
2003-09-30 10:00:00,0.38,0.35,4.2
2003-09-30 11:00:00,0.66,0.58,1.7
2003-09-30 12:00:00,1.07,0.98,2.5
2003-09-30 13:00:00,1.31,1.43,3.1
2003-09-30 14:00:00,1.64,1.73,3.1
2003-09-30 15:00:00,1.82,1.81,1.9
2003-09-30 16:00:00,1.66,1.65,3.1
2003-09-30 17:00:00,1.4,1.33,3.1
2003-09-30 18:00:00,0.99,0.95,2.5
2003-09-30 19:00:00,0.68,0.62,3.6
2003-09-30 20:00:00,0.41,0.37,2.5
2003-09-30 21:00:00,0.2,0.2,4.7
2003-09-30 22:00:00,0.14,0.14,4.7
2003-09-30 23:00:00,0.32,0.26,1.9
